reviewid,username,userimage,content,score,thumbsupcount,reviewcreatedversion,at,replycontent,repliedat
gp:AOqpTOH520Suvsxgqu6it0kVF2tQa2vBe8Uun3JIDLPDs8DjW4Fry_VKvB92K4UU3beJLk0DIpyXDGQKIUbRF8s,Lisa Sabo,https://play-lh.googleusercontent.com/a/AATXAJzcjOyV0UgCtbWlqj3PKt97kXmT6tcDT2KsqO4P=mo,"This app takes too much effort to make it work. I was using the app for 3 days in total and it unlinked my bank account twice in 3 days, making me link it over again. Problem #2 is that I always shop using my credit card to get points. I tried to connect my credit card along with my bank account and there was no possible way to do this. I contacted support and was told that it wasn't possible because my well known bank wouldn't allow it which makes this app unusable for me to shop with.",1,62,1.85.0,2021-11-01,nan,NaT
gp:AOqpTOFTgx729LBiuEfHwWG7b4sBz80DVaaIV7TQC6Z4kBloO3t_b21obPKBJs9Zj2wd32_qT-XEOB2U_iv6b48,Rawle C,https://play-lh.googleusercontent.com/a-/AOh14GjtI52ueqVYq9hkXI3lZezXlUwRf6kIfC9dEYY7PA,"Takes about 5 minutes to boot, tapping any button takes about 20 seconds to respond then if you're lucky, it takes 30 seconds to load your selection, most often it won't load at all. Can't rate the service offered, the app was impossible to use. Maybe its device requirement issue, but I have similar apps that work fine.",1,24,1.86.0,2021-11-09,nan,NaT
gp:AOqpTOGoh3RMNVMvQ9ExducEN60kB5yoaKP9WDE9OzzgSI6JHSY9TMmM-TIVrWQIEHTh5_opENuasv4zJTxRsNI,Stephen Cox,https://play-lh.googleusercontent.com/a/AATXAJyuAg86Q85IP4Uk1M6doQv7zqtkxbfuyDwUGb-8=mo,"I wrote detailed review but Google didn't save it so here's the summary. Rewards linked to cards work as advertised and are great! The surveys are misleading and need to be completely reworked. I've done multiple surveys to full completion and never received the advertised points ""as I didn't fit what the survey was looking for"". That's a lame method to trick people into doing the questionnaires. Update the points to show the points range you can earn. Otherwise, it's just deceptive marketing",2,62,1.85.0,2021-10-30,nan,NaT
gp:AOqpTOEDj4owyH62a_3i5HxbTWTgQ4l9EyXeS8fDkO72QHunNV_25HeVaRhMSFLRl7wFqV5y7hRaekJBYoUiZKQ,Cassie Chapman-Moore,https://play-lh.googleusercontent.com/a/AATXAJygyBHGxnuTe3lrofJix8M8dZFChteAB9f5AtAN=mo,"Painfully slow, essentially useless. Kept unlinking my accounts, so I was missing out on points, then finally decided it's ""incompatible"" with my bank. Customer service isn't great; took forever to answer my emails, suggested removing bank security procedures to link to the app. Erm, no. Not worth the effort.",2,23,1.85.0,2021-10-25,nan,NaT
gp:AOqpTOEIkKRPTDNNMUs79ggnlMBQQDR0MJJucdrlTxUqSO-JKPlhqCFAs_t2cwA_B8BIe_aYx4XzcibJomEXmoM,j s,https://play-lh.googleusercontent.com/a-/AOh14GhNBnD9nxtYRWY8ZbOTOTZ-7rJAhgVYq3zRxts,I did enjoy this app but I started taking surveys and even though I completed 100% of the survey they aren't giving the correct amount of points as a reward. I know they end early and you get half points but almost everytime I'm completed a full survey they aren't giving the proper rewards for it ..something is messaged up with their system,2,5,1.86.0,2021-11-05,nan,NaT
gp:AOqpTOEUI_z606-menwtL4im78Yk873-GHQLOVCO-swcuS7IsC-AqY5Vmbk24AUviGMkenLjYjguFtGhp13Kb2s,Tanya Lavoie,https://play-lh.googleusercontent.com/a/AATXAJxXD2MYDyJW1Ws9b0K24IjG2qjET02yRK2sBSKB=mo,"The app is great reward wise. But it so slow to load and sometimes crashes. If you don't have patience, don't bother cause you will smash your phone into 1000 pieces.",3,0,1.86.0,2021-11-15,nan,NaT
gp:AOqpTOFlSTk5kq6GprcbYCDa8Axw8GaYbLHX8f2kuCBdmekn-Gg-FAslxN4dA7nVqhYeCKjxrG37hAwoaL9VlfA,Stephanie Tang,https://play-lh.googleusercontent.com/a-/AOh14GiFFAKDqxrwfxBHzPuxHjV2cq_pLdgKAuqnE4I7gLg,"Love the rewards system, that works fabulously. Do find the app quite laggy to use and have had issues contacting CS about points problems, found them unresponsive and contact information was either lacking or wrong.",4,0,1.86.0,2021-11-14,nan,NaT
gp:AOqpTOE4ka14-jVCkaMVLgEugqfi6igPuw189MxGD2eisAVIMZLeBSb23R-mnh2AW7hu8v3rkGsQloPl751bhzs,Henry Fok,https://play-lh.googleusercontent.com/a-/AOh14GhaSh9vxBVPPHFlUdqbGKAGnKxJ2FtjOjl0FiEChg,"The app is so laggy and unresponsive. Selecting anything in the user interface takes at least 10 seconds for anything to happen, if at all.",1,1,1.86.0,2021-11-13,nan,NaT
gp:AOqpTOHGF5jif9tqfit2CucAhX7I0Ir1jz0gEM6c80Am0sIgy4GLT5CAalAzMdCTCx3A9yljTgYNzY9sNdy4b4g,val richards,https://play-lh.googleusercontent.com/a/AATXAJxdQ9WFTz0oig5-c4I97eDyfRXsusbGLtXuHGFU=mo,I love the drop app. Free gift cards in canada. I have been a member for around 2 years and have earned around $180 in gift cards for amazon tim hortons sephora and best buy. I love this app. And it is safe to link your bank card too.,5,0,1.86.0,2021-11-09,nan,NaT
gp:AOqpTOGr8xhOxyLtO-4HVlhwju4SOagotU2wO9bMZm_NP0jSJnCA8cQokFL_-KPEWgZCot6vyGeO8LM0zEFgAY8,That Crime,https://play-lh.googleusercontent.com/a-/AOh14Gg5cmhMy83GOM6RL8ANSXHs5NPlCXSNzd-y7gjkIA,"This app is very questionable. They don't award points properly, meaning if the offer is boosted you will not get your points. The customer service is blah. Weeks without getting my points and still no help from customer service.",1,6,1.85.0,2021-11-03,nan,NaT
gp:AOqpTOHCzJatPp4GY7MRdUV1kNclb8DiQox_NNIweZhXt0_HslgHkGnmcvnI8Cc5_eNwS0w503TFQImY7Tx7fOc,Chris ABC,https://play-lh.googleusercontent.com/a-/AOh14GhtwBRMvIgg324OLmZ2b8dPKpU7DD84B5M_MK5QUw,"Has gotten so much worse. Often doesn't give rewards for you shopping or completing surveys. Any bonuses that you are entitled to from your drop spin or from boosted deals don't actually get applied. Lies about the time required to complete surveys (I'm not about to spend 25 minutes for $1). Customer service is nonexistent but I'm guessing they will be all over this review, so maybe they can help resolve my issues and give me some of the $15+ I worked and shopped for on this app.",1,32,1.84.0,2021-10-13,nan,NaT
gp:AOqpTOELpXSD09wU4CtOMA_mpTqu53vEvgEbHVxdDnJxc3J_FlggPmTjfF-dodcWbXQJjcbEBMv7m5LDjcUbJCo,Angela D,https://play-lh.googleusercontent.com/a-/AOh14Gi7ar6l_IyaVZDge5ITm0GFDjAT5g0unpqiJPlTmg,"Love that it is a free app. The offers are getting better and better all the time. So i am able to redeem on a regular basis. I always have to send a query into pts that i should have earned through an offer i emailed to myself. Of course there is always a reason why they didnt go through and they will be added. Games that i am interested in always have a message ""this offer is no longer available""",4,38,1.84.0,2021-10-03,"Hey Ange, thanks so much for your review! If there is any way we could make it a 5-star experience we would love to hear about it at support@joindrop.com. Be sure to reference your Play Store review so we can keep track of your case! :)",2020-04-29 14:44:32
gp:AOqpTOFxObzX_yWVpk4f-zPr2Fc3cvNdslriza9wSfqwlv-7nxxegNvD0xqgBFguMLlnNWMZzIkZDt4ZlFo9xjQ,Jennifer He,https://play-lh.googleusercontent.com/a-/AOh14Gjz_mHqpwOscJF_dnq3_JsYNFUGODAq6H0NuW5uhw,"After writing a review, they sent me my giftcard after 6 days. Took twice as long as expected. Just wish their customer support responded back!",4,0,1.86.0,2021-11-09,"Hi there, so sorry for the delay! We're currently working through an issue regarding these redemptions, but your reward should be available to you within 48 hours. We sincerely appreciate your patience.",2021-11-09 10:07:55
gp:AOqpTOEaqrqUf-dUvFZlW_oUGilnupCXij9tsYlzksTdHZTrUpoivtYQuTS607JhIQd6NtqQXSvMjjnCRA7DiGw,Saúl H,https://play-lh.googleusercontent.com/a-/AOh14GgTipTgmjTeiDnQLCMkl6An-cRpEvBz1gpOMMaW-VE,Nice,5,0,1.84.0,2021-10-09,nan,NaT
gp:AOqpTOGX19xCRIGbCHxPCxa5CBuAQmYLmOLVVxatTyC0ccezXQu3FLYsIpCNpouCAj79VH3_H9y2QRTL25opqEs,Allen Awesomeness,https://play-lh.googleusercontent.com/a-/AOh14Gg2izm0QXtW-0DL4XX11MCETfPFePmLeDvT7ByB,"THEY ABSOLUTELY RUINED THIS APP WITH THE NEW ""PREMIUM OFFERS"" SECTION!!!!! They shamelessly downgraded the card-linked offers, now all the offers are temporary. And WORST OF ALL, the Amazon one is demoted to a ""limited-time"" offer on a first-come-first-serve basis. By the time I get the notification, the Amazon offer has already been reaped empty! This is beyond ridiculously stupid. I hope this is the outcome you wanted to achieve, because youve just lost a customer. Id rate 0 stars if I could.",1,18,1.84.0,2021-10-18,nan,NaT
gp:AOqpTOHMDKhCyC6co8vdEzJ9drMN_VphViC95QcOhVnrMdijMO_RmLqIPwMTuklWB_QlSn_A2KxQZvAtUuDsWsM,Dylan Chan,https://play-lh.googleusercontent.com/a-/AOh14Gj8-7RlQUSYH6YwCMU3N5z6bpxqMg-bQHSzKvN6Ig,"been using this for years and every so often it unlinks my card/bank accounts. always so much frustration when trying to contact support about it and their answer is always along the lines of ""issues usually resolve in a few days. just keep trying to relink"" when it's been more than 2 weeks already. it's especially frustrating now that they've added perks for simply having a linked card. the app is also still so clunky after years of being released.",1,11,1.83.0,2021-10-01,nan,NaT
